NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                        MESSAGE
kube-system   119m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "5fcc82ed8706ec31629bcbbc48bda2caba9d66b1029078f3b36f3bfca5c7d1e3": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 34.202.83.64:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "79ed62ab7f6740bb04e826ec8165b1279243559a3604083f44831c6343abde32": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.234.221.194:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "7e0aa7ff5634ce2986068ecd62cfb9de42208dcd19e5c97f4c646733f06d5888": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.205.7.211:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "94587bddb195c8ed91591e10cb8330d486caece33060d8abb768fa4ac0243941": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.234.221.194:443: i/o timeout
falco         118m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "66f98c377f483a61e3dfa1b4d1448a12988cffa36fd17a566723dea18be5c79e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.234.221.194:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "7d446064f87595087bff92bfc59c70593aedd93f4468e528d733cafe963f39a6": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.193.22.212:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "3cc14ae121404e7f884e95a29da8178c9eeffb13c47e2755419d836b49da2893": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
produccion    118m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "ed16ab278cb323473861d67998c614d8b78acdf25a5a5b5a856cffcfec5e382d": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 3.220.138.244:443: i/o timeout
produccion    118m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "5c034d5d8b9a73672090973adf5bb21fc65487ec0218c301c2d779e1a619b7c4": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
falco         118m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "980bb68ac9ca526ee0fb5ffe1034e0eecc80a929427ae6291dd5549e1809cdcb": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
produccion    118m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "59313ef6f46e174eb30493d0c6aa28bda10c6aaf398e9c01d4b1d226403c9a7c": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "bccc3849e3f3e75d2299f465c6773ebd6ceff185a59b45f795e1aa5621edc981": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 98.95.192.66:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "471a1e523cd868dab69b3505c48deb6568d8b8663acbb75261a3932217fd4dd3": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "20c1d83ff48559a6b9839e5144e91a3091ea7a1805885bd14382d062e28f478e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.205.7.211:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "1eed57a9e13bcfe105244eab1dbef0e506c36ac6ae8ea7a07a84e9d154bfae69": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 98.85.216.201:443: i/o timeout
kube-system   118m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "1b58e6d7933785254124bd3772dc91fddb64aa8bc91968153aa0e629e20baa63": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 34.202.83.64:443: i/o timeout
falco         118m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "0565b61a0dbed0397d3999d8cc69ea81c81fecc2e24ad830d51d8adabe185268": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 98.95.192.66:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "2627209c35390ae4ff30d18ceb65e0db397baeb4a36f54f3b7ba1b29fc12a7b0": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
produccion    117m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "519a4186e1527528bdcc41a453ba15769bdd15a3767c9ecbf546ec7b07997418": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.193.22.212:443: i/o timeout
produccion    117m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "a9c14368d6fbdbd05b0cea6c0b3dd1b77d2835236fbe8e2bd0fcdd63743bd6b1": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
produccion    117m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "204a4281d09bdf4948473c280237f5636195e950754dfdac64c5a801a462ca8e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 34.202.83.64:443: i/o timeout
falco         117m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "02ab855aa87134b2b724ead3b385d5bf9164e1c639c47368e9f5fb796124a056": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 34.202.83.64:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "6042d6d28ae21c983d7844182bd4d4fdd82c7d4185fcea65a08d0434d9c5ecaa": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 44.219.124.8:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "0b2f82651bdd9d94843078f89a1e653db9d1fd5e65659854ada0bbf47b935a26": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.22.92.217:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "198ca75d4879f6c6e4e92ebbd6528f5cce6e442fe9b2825847c019a51505d419": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.22.92.217:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "49be1fa70759c08f4caca9355bff846318ac0e1ae490dd773f2378d907ac7c2f": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.195.124.218:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "f021a8da8de983f6e0de6295542a5d7bcb875f50d2a8f29b7f173d18c3c5dcdf": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.195.124.218:443: i/o timeout
falco         117m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "0aa310339022f218a2682fc65fbb3ce274ee445565e94cef28b65ad0c080bf15": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.22.92.217:443: i/o timeout
kube-system   117m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "83872c8befbb559555ddfae8b6f1f77ca4882f9b8892b0f0e1ec87dee9cc4554": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 44.219.124.8:443: i/o timeout
produccion    117m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "02f0d411b12cca04ec20fd434d36560e29f29d62ebcfc6913a1e3479519ae4db": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 13.219.191.148:443: i/o timeout
produccion    117m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "153aebc88a23f06dae7ed86896dbd2b56159f75206d163cce5def793cc4aa4e7": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 107.23.123.43:443: i/o timeout
falco         117m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "9a7bf7335a291940cf8dbf1939a8c9c3b7fcadca243af4ab796d98676d95fde8": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 13.219.191.148:443: i/o timeout
produccion    117m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "6de1937fa7ce05a0e98f6c55aa528fa3c9615d6370c90349908bc0f3b3cf3a97": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 107.23.123.43:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "19924ee808944503e355e867c7dbd1ce11d4909b64b4862053d06cb8801a7aa5": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.173.59.97:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "7344ad87d8b90d383276dfa86d8cfc50402b964465ce7e35e11a0e2b92968ec0": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 3.209.206.111:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "44993d59908e2f7ca18304e23e7c1449b29e86f3ed6ac7caa2c0dac658911589": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.173.59.97:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "018ec8ebc4730e664753c1261362da587e8d0ec6ccf2606ad20b11843f3be3f1": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 44.219.124.8:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "241d2c1c369c6600a506016073586d4e3f3c8c5a189161f3b801da9598980dd5": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 3.209.206.111:443: i/o timeout
falco         116m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "d0ff9bd038dfbc4da344ddcfb1f061d79b6d8cc3be5cbb52ea959f18a8f5a92e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.173.59.97:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "8aaa8a295b081459a9a8633783c3a0ff2272a80f1cfaa526d5ac2321a4478a61": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "33a771da0692aecabdfdbe85008f5d8ff7a7eb9dc6f542cc5b2514a6fe571fc6": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 13.219.191.148:443: i/o timeout
falco         116m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "cd841749406e74f9714985110c5adea23985053920a8e9822cff67760d58bd7b": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "fba44ab966aa8d777c9841e1ce9441125ca84da1e6e82be8c1aef7ed952af61f": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "6ca3fda15195b2b1c1ab808bfce66b4dd777b3e0a9a6d41f2a8462e0d9ae6447": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "ce2275c6168e990e64f60e06efc4f98318ebb11ae3b5922d26e8161b7ddeee2a": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
