NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                        MESSAGE
kube-system   119m        Normal    ApplyingManifest                 addon/local-storage                           Applying manifest at "/var/lib/rancher/k3s/server/manifests/local-storage.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/coredns                                 Applied manifest at "/var/lib/rancher/k3s/server/manifests/coredns.yaml"
kube-system   119m        Normal    UpdatedLoadBalancer              service/traefik                               Updated LoadBalancer with new IPs: [192.168.64.10 192.168.64.20] -> [192.168.64.20]
falco         119m        Normal    SuccessfulCreate                 daemonset/falco                               Created pod: falco-t5wsb
kube-system   119m        Normal    AppliedManifest                  addon/local-storage                           Applied manifest at "/var/lib/rancher/k3s/server/manifests/local-storage.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/aggregated-metrics-reader               Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/aggregated-metrics-reader.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/aggregated-metrics-reader               Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/aggregated-metrics-reader.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/auth-reader                             Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/auth-reader.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/metrics-apiservice                      Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-apiservice.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/auth-reader                             Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/auth-reader.yaml"
default       119m        Normal    NodePasswordValidationComplete   node/vm1-objetivo                             Deferred node password secret validation complete
kube-system   119m        Normal    AppliedManifest                  addon/auth-delegator                          Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/auth-delegator.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/auth-delegator                          Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/auth-delegator.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/metrics-apiservice                      Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-apiservice.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/metrics-server-deployment               Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-server-deployment.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/metrics-server-deployment               Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-server-deployment.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/metrics-server-service                  Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-server-service.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/runtimes                                Applying manifest at "/var/lib/rancher/k3s/server/manifests/runtimes.yaml"
kube-system   119m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "159004665e5ca6cc1bd22b89cad06c17963122048a37c1691f8b43397d75262e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Normal    AppliedManifest                  addon/metrics-server-service                  Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-server-service.yaml"
kube-system   119m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "ff0f28d32781227c8030404215c96e8cdffb025ecaab86cbcf632a3e5ed35819": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Normal    ApplyingManifest                 addon/resource-reader                         Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/resource-reader.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/resource-reader                         Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/resource-reader.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/rolebindings                            Applied manifest at "/var/lib/rancher/k3s/server/manifests/rolebindings.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/rolebindings                            Applying manifest at "/var/lib/rancher/k3s/server/manifests/rolebindings.yaml"
kube-system   119m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "1d4bf4970f81fcae185b8080e31a11e98e89e5d93501e31ab6982dee210fdd16": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         119m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "e7a58716fca1964d9000238668d26849d7f691d988d7cf964a1328bcd062d5be": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "00a0359edd8187f7f287f299a49c3b29881b325ac2e98e9b2bfea21f89d04410": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "1df785d497f84980a761fbdb34109de2bb23516329e1164fbc209d887da8757b": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
default       119m        Normal    CertificateExpirationOK          node/vm2-monitor                              Node and Certificate Authority certificates managed by k3s are OK
kube-system   119m        Normal    AppliedManifest                  addon/traefik                                 Applied manifest at "/var/lib/rancher/k3s/server/manifests/traefik.yaml"
kube-system   119m        Normal    AppliedManifest                  addon/runtimes                                Applied manifest at "/var/lib/rancher/k3s/server/manifests/runtimes.yaml"
kube-system   119m        Normal    ApplyingManifest                 addon/traefik                                 Applying manifest at "/var/lib/rancher/k3s/server/manifests/traefik.yaml"
default       119m        Normal    NodeAllocatableEnforced          node/vm2-monitor                              Updated Node Allocatable limit across pods
default       119m        Normal    Starting                         node/vm2-monitor                              Starting kubelet.
default       119m        Normal    NodeHasSufficientMemory          node/vm2-monitor                              Node vm2-monitor status is now: NodeHasSufficientMemory
default       119m        Normal    NodeHasNoDiskPressure            node/vm2-monitor                              Node vm2-monitor status is now: NodeHasNoDiskPressure
default       119m        Normal    NodeHasSufficientPID             node/vm2-monitor                              Node vm2-monitor status is now: NodeHasSufficientPID
default       119m        Warning   Rebooted                         node/vm2-monitor                              Node vm2-monitor has been rebooted, boot id: 9274b29c-61be-41e5-9aa4-cb3b64831269
kube-system   119m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "0651e1cb5fa242d19ed41d60f2975211037618f4978be99f088763c4170149df": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "254ad41076645f57f43fd036443442dd38a931649d6a7ca46b9af715091a47cf": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "1f5b9acc915b6fa1f7c837e48a5b8ebed095c0075b270efba68028a7942aad0a": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "37d95885c0e6e941f8f2c27f09a5115a553ca56ec549d0ee91f5e074ebccbf95": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "49045dd474bb69b156b535ca80685cff8303ac7c60eef0c4bb74febd86542bbd": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "90113fbbb8d4dd0b4cb9755e37e9d51ffae7dc2e4abc11558273d6d93f140299": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         119m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "fe52eb3fc9f2dea05d0f2417bd9b648d5d474863818a0126a553750ca0d44221": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "245f7568b83f47a915e920041718babd61293756740c351ffd2968952cd87de6": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "748f7d6eab3e8285238fae2291e90eec8a97c6ffa3ee88cf93ebde44bded43a1": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "21a3b10fe6833d0f42080abb07b7d5f333aab8eff4a899c28a7de929acee4efb": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         119m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "655ad3e5772884eeb6d9a829cf9c9b6fd2ab5534b15977a9a3cacf647932467d": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "5a2c04da2ddb0d5af04b1b8d839a16a83ebdf7046e95b63db420fc867c46c732": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "f548c75679cc6e98b4ffc980b6d2b4bf2c22d3020ba31a9d40a0f945566c4424": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         119m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "cb1f7220782f8ba06589bfaf26414243aa511b7c648c4e0fb7b437bc5c12b238": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "35b5cb791d96c9c3cfc8716c523693125f00a6bd740c1ad948e4ce6add72f78d": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         119m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "419f8cb544ca830efeac718924fa489af19c535b1469875e34b63e35e1622eb5": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "f17daeb3e5a7940c684b1975101299cd75dfd92813f9d764623de925b68e13a2": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   119m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "6963babbd244907adca097be4fd6c75f01a84f5bcd9e8c938457261062d5e6a1": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "dda8bab9ae0e9210b39f97cbbb5719470434ce28cde54390f39a22556647f9cb": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "0009e098337af3f5905b84a8b02938187b78cf1ebc7febc16f7efe99e1b80a66": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         119m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "5aa5db4c9383d53b94721904b6c7a6dace2fe8208774d8f5d1c983e2c0afa3db": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    119m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "f93c41e46f825f918076f627be9ad1ccf7f607c56a6b1e17c1b7b13f69371ac9": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
