LAST SEEN   TYPE      REASON              OBJECT                         MESSAGE
2m18s       Normal    SuccessfulCreate    replicaset/webapp-6c59b98977   Created pod: webapp-6c59b98977-j758n
2m18s       Normal    SuccessfulCreate    replicaset/webapp-6c59b98977   Created pod: webapp-6c59b98977-fw4f6
22m         Normal    Scheduled           pod/webapp-7bbcbb5f68-gxkqj    Successfully assigned webapp/webapp-7bbcbb5f68-gxkqj to vm2-monitor
19m         Normal    Pulling             pod/webapp-7bbcbb5f68-gxkqj    Pulling image "nginx:version-que-no-existe"
19m         Warning   Failed              pod/webapp-7bbcbb5f68-gxkqj    Failed to pull image "nginx:version-que-no-existe": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:version-que-no-existe": failed to resolve reference "docker.io/library/nginx:version-que-no-existe": docker.io/library/nginx:version-que-no-existe: not found
19m         Warning   Failed              pod/webapp-7bbcbb5f68-gxkqj    Error: ErrImagePull
7m42s       Normal    BackOff             pod/webapp-7bbcbb5f68-gxkqj    Back-off pulling image "nginx:version-que-no-existe"
7m42s       Warning   Failed              pod/webapp-7bbcbb5f68-gxkqj    Error: ImagePullBackOff
22m         Normal    Scheduled           pod/webapp-7bbcbb5f68-xh6rw    Successfully assigned webapp/webapp-7bbcbb5f68-xh6rw to vm1-objetivo
19m         Normal    Pulling             pod/webapp-7bbcbb5f68-xh6rw    Pulling image "nginx:version-que-no-existe"
19m         Warning   Failed              pod/webapp-7bbcbb5f68-xh6rw    Failed to pull image "nginx:version-que-no-existe": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:version-que-no-existe": failed to resolve reference "docker.io/library/nginx:version-que-no-existe": docker.io/library/nginx:version-que-no-existe: not found
19m         Warning   Failed              pod/webapp-7bbcbb5f68-xh6rw    Error: ErrImagePull
7m47s       Normal    BackOff             pod/webapp-7bbcbb5f68-xh6rw    Back-off pulling image "nginx:version-que-no-existe"
7m47s       Warning   Failed              pod/webapp-7bbcbb5f68-xh6rw    Error: ImagePullBackOff
22m         Normal    SuccessfulCreate    replicaset/webapp-7bbcbb5f68   Created pod: webapp-7bbcbb5f68-xh6rw
22m         Normal    SuccessfulCreate    replicaset/webapp-7bbcbb5f68   Created pod: webapp-7bbcbb5f68-gxkqj
6m9s        Normal    SuccessfulDelete    replicaset/webapp-7bbcbb5f68   Deleted pod: webapp-7bbcbb5f68-gxkqj
6m9s        Normal    SuccessfulDelete    replicaset/webapp-7bbcbb5f68   Deleted pod: webapp-7bbcbb5f68-xh6rw
5m57s       Normal    ScalingReplicaSet   deployment/webapp              Scaled down replica set webapp-54d7b67f6b from 3 to 2
28m         Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-54d7b67f6b from 2 to 4
22m         Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-7bbcbb5f68 from 0 to 1
22m         Normal    ScalingReplicaSet   deployment/webapp              Scaled down replica set webapp-54d7b67f6b from 4 to 3
22m         Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-7bbcbb5f68 from 1 to 2
6m9s        Normal    ScalingReplicaSet   deployment/webapp              Scaled down replica set webapp-7bbcbb5f68 from 2 to 0
6m9s        Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-6c59b98977 from 0 to 2
5m57s       Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-6c59b98977 from 2 to 3
5m56s       Normal    ScalingReplicaSet   deployment/webapp              Scaled down replica set webapp-54d7b67f6b from 2 to 1
5m56s       Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-6c59b98977 from 3 to 4
5m51s       Normal    ScalingReplicaSet   deployment/webapp              Scaled down replica set webapp-54d7b67f6b from 1 to 0
4m44s       Normal    ScalingReplicaSet   deployment/webapp              Scaled up replica set webapp-6c59b98977 from 4 to 5
4m44s       Normal    ScalingReplicaSet   deployment/webapp              Scaled down replica set webapp-6c59b98977 from 5 to 4
2m18s       Normal    ScalingReplicaSet   deployment/webapp              (combined from similar events): Scaled up replica set webapp-6c59b98977 from 2 to 4
